Surface Area,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p,,,
assymetry_sexdifferences,L_bankssts,-0.0098,0.017042793,-0.043204412,0.023602107,,,0.56522992,0.600143731,,,
assymetry_sexdifferences,L_caudalanteriorcingulate,-0.09322,0.016495849,-0.125551182,-0.060888641,,,0.0000000159412,0.605480275,,,
assymetry_sexdifferences,L_caudalmiddlefrontal,0.04142,0.018640178,0.004885507,0.077953664,,,0.026279284,0.373856942,,,
assymetry_sexdifferences,L_cuneus,0.008578,0.019340567,-0.029328822,0.046484808,,,0.657387231,0.222966812,,,
assymetry_sexdifferences,L_entorhinal,-0.00034,0.022269866,-0.043991512,0.04330476,,,0.987698019,0.134028382,,,
assymetry_sexdifferences,L_fusiform,-0.09342,0.024210274,-0.140869797,-0.045967268,,,0.000114024,0.00187545,,,
assymetry_sexdifferences,L_inferiorparietal,-0.12377,0.016764265,-0.156629446,-0.090914733,,,0.000000000000154657,0.539710295,,,
assymetry_sexdifferences,L_inferiortemporal,0.004304,0.017693765,-0.030375563,0.038982722,,,0.807830509,0.295427441,,,
assymetry_sexdifferences,L_isthmuscingulate,0.036802,0.018932277,-0.000304588,0.073908575,,,0.051910445,0.220292245,,,
assymetry_sexdifferences,L_lateraloccipital,-0.00408,0.016850886,-0.037110471,0.028943787,,,0.808530592,0.238620388,,,
assymetry_sexdifferences,L_lateralorbitofrontal,-0.04358,0.016537069,-0.075995137,-0.011171019,,,0.008401891,0.10963655,,,
assymetry_sexdifferences,L_lingual,0.028596,0.016403576,-0.003554176,0.060746661,,,0.08128242,0.356485927,,,
assymetry_sexdifferences,L_medialorbitofrontal,-0.03015,0.018360341,-0.066138863,0.005832352,,,0.100527093,0.132421253,,,
assymetry_sexdifferences,L_middletemporal,0.041655,0.022668459,-0.002774048,0.08608468,,,0.06612296,0.04584897,,,
assymetry_sexdifferences,L_parahippocampal,-0.10224,0.01651789,-0.134609675,-0.069860737,,,0.00000000060408,0.157605809,,,
assymetry_sexdifferences,L_paracentral,-0.0364,0.016509993,-0.068755039,-0.004037056,,,0.027490187,0.920316067,,,
assymetry_sexdifferences,L_parsopercularis,-0.01426,0.016466885,-0.046538445,0.018010556,,,0.38636954,0.577702239,,,
assymetry_sexdifferences,L_parsorbitalis,-0.06914,0.016503217,-0.101488384,-0.036796961,,,0.0000279387,0.543983184,,,
assymetry_sexdifferences,L_parstriangularis,-0.03445,0.016370759,-0.066538616,-0.002366421,,,0.035333487,0.635054019,,,
assymetry_sexdifferences,L_pericalcarine,0.001096,0.01783935,-0.033868935,0.03606003,,,0.951031211,0.011660759,,,
assymetry_sexdifferences,L_postcentral,-0.01407,0.016543033,-0.046492431,0.018355066,,,0.395086367,0.027707109,,,
assymetry_sexdifferences,L_posteriorcingulate,-0.02058,0.016410381,-0.052744972,0.011582539,,,0.209784445,0.001077093,,,
assymetry_sexdifferences,L_precentral,0.001867,0.019423982,-0.036203795,0.039936815,,,0.923446651,0.112446093,,,
